Added to the Index			Dropped from the Index													
Company	Ticker	Old Name & Ticker	Company	Ticker	Old Name & Ticker	Date	Year									
Terex Corp.	TEX		Navistar Int'l	NAV		December 19, 2006	2006									
DirecTV	DTV		Freescale Semiconductor	FSL.B		December 1, 2006	2006									
IAC/InterActiveCorp	IACI		Lucent Technologies	LU		November 30, 2006	2006									
Questar Corp.	STR		North Fork Bancorp. Inc.	NFB		November 30, 2006	2006									
Peabody Energy	BTU		HCA Inc.	HCA		November 17, 2006	2006									
Cognizant Technology Sol.	CTSH		Alberto-Culver Co.	ACV		November 16, 2006	2006									
CBRE Group	CBG		Fisher Scientific	FSH		November 9, 2006	2006									
Fidelity Nat. Info. Services	FIS		Louisiana-Pacific Corp.	LPX		November 9, 2006	2006									
Celgene Corp.	CELG		AmSouth Bancorp	ASO		November 3, 2006	2006									
Smith International Inc.	SII		Golden West Financial	GDW		September 29, 2006	2006									
Western Union Co.	WU		Andrew Corp.	ANDW		September 29, 2006	2006									
CME Group Inc.	CME		Kerr-McGee Corp.	KMG		August 10, 2006	2006									
Wyndham Worldwide	WYN		Cendant Corp.	CD		July 31, 2006	2006									
Realogy Corp.	RLGY	Realogy Corp. (H)	Gateway Inc.	GTW		July 31, 2006	2006									X
Windstream Comm's	WIN		Cooper Tire & Rubber Co.	CTB		July 17, 2006	2006									
Consol Energy Inc.	CNX		Knight-Ridder Inc.	KRI		June 27, 2006	2006									
Commerce Bancorp	CBH		Engelhard Corp.	EC		June 5, 2006	2006									
Juniper Networks	JNPR		Albertson's Inc.	ABS		June 1, 2006	2006									
Embarq Corp.	EQ		Applied Micro Circuits Corp.	AMCC		May 17, 2006	2006									
Legg Mason	LM		Guidant Co.	GDT		April 21, 2006	2006									
SanDisk Corporation	SNDK		Chiron Corp.	CHIR		April 19, 2006	2006									
Dean Foods	DF		Maytag Corp.	MYG		March 31, 2006	2006									
Kimco Realty	KIM		Jefferson-PilotCorp.	JP		March 31, 2006	2006									
Boston Properties	BXP		Cinergy Corp.	CIN		March 31, 2006	2006									
Google Inc. Class A	GOOGL	Google Inc. (GOOG)	Burlington Resources Inc.	BR		March 31, 2006	2006									
Chesapeake Energy	CHK		Dana Corp.	DCN		March 2, 2006	2006									
Barr Pharmaceuticals Inc.	BRL		Scientific Atlanta Inc.	SFA		February 24, 2006	2006									
Verisign Inc.	VRSN		Reebok Int'l	RBK		January 31, 2006	2006									
Harman Int'l Industries	HAR		Siebel Systems Inc.	SEBL		January 31, 2006	2006									
Estee Lauder Cos.	EL		-	-		January 4, 2006	2006									
-	-		Mercury Interactive	MERQE		January 3, 2006	2006									
CBS Corp.	CBS		Visteon Corp.	VC		December 30, 2005	2005									
Whole Foods Market	WFM	Whole Foods Market (WFMI)	MBNA Corp.	KRB		December 30, 2005	2005									
E.W. Scripps Co.	SSP		Georgia-Pacific Group	GP		December 19, 2005	2005									
Genworth Financial Inc.	GNW		Calpine Corp.	CPN		December 1, 2005	2005									
Amazon.com Inc.	AMZN		AT&T Corp. (Old)	T (Old)		November 18, 2005	2005									
Patterson Companies	PDCO		Delphi Corp.	DPH		October 10, 2005	2005									
Lennar Corp.	LEN		-	-		October 3, 2005	2005									
Ameriprise Financial	AMP		Providian Financial	PVN		September 30, 2005	2005									
-	-		Gillette Co.	G		September 30, 2005	2005									
Coventry Health Care	CVH		May Dept. Stores	MAY		August 29, 2005	2005									
Public Storage	PSA		Delta Air Lines	DAL		August 18, 2005	2005									
Murphy Oil	MUR		Nextel Communications	NXTL		August 12, 2005	2005									
Vornado Realty Trust	VNO		SunGard Data Systems	SDS		August 11, 2005	2005									
Tyson Foods	TSN		Unocal Corp.	UCL		August 10, 2005	2005									
Weatherford Int'l Ltd.	WFT		Toys "R" Us, Inc.	TOY		July 21, 2005	2005									
D. R. Horton	DHI		Veritas Software	VRTS		July 1, 2005	2005									
Constellation Brands	STZ		Great Lakes Chemical	GLK		July 1, 2005	2005									
Sears Holding Corporation	SHLD		Sears, Roebuck & Co.	S (Sears)		March 24, 2005	2005									
National Oilwell Varco Inc.	NOV		Power-One, Inc.	PWER		March 11, 2005	2005									
Molson Coors Brewing Co.	TAP		Adolph Coors	RKY		February 8, 2005	2005									
XTO Energy Inc.	XTO		PeopleSoft Inc.	PSFT		December 28, 2004	2004									
Archstone-Smith Trust	ASN		Crane Co.	CR		December 17, 2004	2004									
Twenty-First Century Fox	FOXA	(Old) News Corp.	Deluxe Corp.	DLX		December 17, 2004	2004									
Compass Bancshares	CBSS		Worthington Industries	WOR		December 17, 2004	2004									
Freescale Semiconductor	FSL.B		Winn-Dixie	WIN (W-D)		December 2, 2004	2004									
L-3 Comm's Holdings	LLL		WellPoint Health Networks	WLP		November 30, 2004	2004									
LabCorp	LH		South Trust Corp.	SOTR		October 29, 2004	2004									
CIT Group Inc.	CIT		AT&T Wireless	AWE		October 26, 2004	2004									
