Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
GME	GameStop Corp.	X	X	X	X	X	X	X	X								
GNW	Genworth Financial Inc.	X	X	X	X	X	X	X	X	X	X						
GOOG	Google Inc. Class C	X															
GOOGL	Google Inc. Class A	X	X	X	X	X	X	X	X	X							
GP	Georgia-Pacific Group											X	X	X	X	X	X
GPC	Genuine Parts	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GPS	Gap Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GPU	GPU Inc.															X	X
GR	Goodrich Corp.				X	X	X	X	X	X	X	X	X	X	X	X	X
GRA	W. R. Grace and Co.																X
GRMN	Garmin Ltd.	X	X	X													
GS	Goldman Sachs Group	X	X	X	X	X	X	X	X	X	X	X	X	X			
GT	Goodyear Tire & Rubber	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GTE	GTE Corp.																X
GTW	Gateway Inc.										X	X	X	X	X	X	X
GWW	W. W. Grainger, Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GX	Global Crossing Ltd.															X	X
H	Harcourt General Inc.															X	X
HAL	Halliburton Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HAR	Harman Int'l Industries	X	X	X	X	X	X	X	X	X							
HAS	Hasbro Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HBAN	Huntington Bancshares	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HCA	HCA Inc.										X	X	X	X	X	X	X
HCBK	Hudson City Bancorp	X	X	X	X	X	X	X	X								
HCN	Health Care REIT, Inc.	X	X	X	X	X	X										
HCP	HCP Inc.	X	X	X	X	X	X	X									
HCR	Manor Care Inc.									X	X	X	X	X	X	X	X
HD	Home Depot	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HES	Hess Corporation	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HET	Harrah's Entertainment								X	X	X	X	X	X	X	X	X
HI	Household Int'l													X	X	X	X
HIG	Hartford Financial Services	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HLT	Hilton Hotels									X	X	X	X	X	X	X	X
HM	Homestake Mining															X	X
HMA	Health Management Assoc.									X	X	X	X	X	X		
HNZ	H. J. Heinz Company			X	X	X	X	X	X	X	X	X	X	X	X	X	X
HOG	Harley-Davidson	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
HON	Honeywell Int'l Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HOT	Starwood Hotels & Res	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
HP	Helmerich & Payne	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HPC	Hercules Inc.								X	X	X	X	X	X	X	X	X
HPQ	Hewlett-Packard	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HRB	H&R Block, Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HRC	HealthSouth Corp.													X	X	X	X
HRL	Hormel Foods Corp.	X	X	X	X	X	X										
HRS	Harris Corp.	X	X	X	X	X	X	X									
HSP	Hospira Inc.	X	X	X	X	X	X	X	X	X	X	X					
HST	Host Hotels & Resorts	X	X	X	X	X	X	X	X								
HSY	The Hershey Company	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
HUM	Humana Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
IACI	IAC/InterActiveCorp								X	X							
IBM	IBM Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ICE	Intercontinental Exchange	X	X	X	X	X	X	X	X								
IFF	Intl Flavors & Fragrances	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
IGT	International Game Tech.		X	X	X	X	X	X	X	X	X	X	X	X	X		
IKN	IKON Office Solutions, Inc.																X
IMNX	Immunex Corp.														X		
INTC	Intel Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
INTU	Intuit Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
IP	International Paper Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
IPG	Interpublic Group	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
IR	Ingersoll-Rand PLC	X	X	X	X	X		X	X	X	X	X	X	X	X	X	X
IRM	Iron Mountain Inc.	X	X	X	X	X	X										
ISRG	Intuitive Surgical Inc.	X	X	X	X	X	X	X									
ITT	ITT Corp.					X	X	X	X	X	X	X	X	X	X	X	X
ITW	Illinois Tool Works	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
IVZ	Invesco Ltd.	X	X	X	X	X	X	X									
JBL	Jabil Circuit		X	X	X	X	X	X	X	X	X	X	X	X	X		
JCI	Johnson Controls	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
JCP	J.C. Penney			X	X	X	X	X	X	X	X	X	X	X	X	X	X
JDSU	JDS Uniphase			X	X	X	X	X	X	X	X	X	X	X	X	X	
JEC	Jacobs Engineering Group	X	X	X	X	X	X	X	X								
JHF	John Hancock Financial												X	X	X		
